LINE_ITEM_NAME,Actual_eCPM
PWT_5b19307a78e7e_190.732,-
PWT_5b19307a78e7e_196.105,-
PWT_5b19307a78e7e_208.194,-
PWT_5b19307a78e7e_232.371,-
PWT_5b19307a78e7e_239.087,-
PWT_5b19307a78e7e_169.241,-
PWT_5b19307a78e7e_173.271,-
PWT_5b19307a78e7e_178.644,-
PWT_5b19307a78e7e_181.33,-
PWT_5b192ebe59b43_111.149,-
PWT_5b192ebe59b43_124.581,-
PWT_5b192ebe59b43_130.625,-
PWT_5b192ebe59b43_131.296,-
PWT_5b192ebe59b43_113.163,-
PWT_5b192ebe59b43_121.223,-
PWT_5b192ebe59b43_122.566,-
PWT_5b192ebe59b43_123.909,-
PWT_5b192ebe59b43_141.37,-
PWT_5b192ebe59b43_150.101,-
PWT_5b192ebe59b43_135.326,-
PWT_5b192ebe59b43_135.998,-
PWT_5b192ebe59b43_138.684,-
PWT_5b192ebe59b43_140.699,-
PWT_5b192ebe59b43_146.071,-
PWT_5b192ebe59b43_149.429,-
PWT_5b192ebe59b43_152.116,-
PWT_5b192ebe59b43_158.16,-
PWT_5b192d88a9fbf_7.723,-
PWT_5b192d88a9fbf_9.067,-
PWT_5b192d88a9fbf_10.41,-
PWT_5b192d88a9fbf_13.768,-
PWT_5b192d88a9fbf_15.111,-
PWT_5b192d88a9fbf_17.126,-
PWT_5b192d88a9fbf_18.469,-
PWT_5b192d88a9fbf_21.155,-
PWT_5b192d88a9fbf_22.498,-
PWT_5b192d88a9fbf_25.185,-
PWT_5b192d88a9fbf_26.528,-
PWT_5b192d88a9fbf_28.543,-
PWT_5b192d88a9fbf_30.557,-
PWT_5b192d88a9fbf_31.901,-
PWT_5b192d88a9fbf_34.587,-
PWT_5b192d88a9fbf_37.273,-
PWT_5b192d88a9fbf_38.617,-
PWT_5b192d88a9fbf_39.96,-
PWT_5b192d88a9fbf_41.303,-
PWT_5b192d88a9fbf_45.333,-
PWT_5b192d88a9fbf_48.019,-
PWT_5b192d88a9fbf_50.705,-
PWT_5b192d88a9fbf_52.048,-
PWT_5b192d88a9fbf_53.392,-
PWT_5b192e2c63cce_54.735,-
PWT_5b192e2c63cce_56.078,-
PWT_5b192e2c63cce_57.421,-
PWT_5b192e2c63cce_58.764,-
PWT_5b192e2c63cce_60.108,-
PWT_5b192e2c63cce_62.794,-
PWT_5b192e2c63cce_64.137,-
PWT_5b192e2c63cce_65.48,-
PWT_5b192e2c63cce_68.167,-
PWT_5b192e2c63cce_69.51,-
PWT_5b192e2c63cce_74.883,-
PWT_5b192e2c63cce_77.569,-
PWT_5b192e2c63cce_78.912,-
PWT_5b192e2c63cce_80.255,-
PWT_5b192e2c63cce_81.599,-
PWT_5b192e2c63cce_82.942,-
PWT_5b192e2c63cce_84.285,-
PWT_5b192e2c63cce_85.628,-
PWT_5b192e2c63cce_86.971,-
PWT_5b192e2c63cce_88.314,-
PWT_5b192e2c63cce_89.658,-
PWT_5b192e2c63cce_91.001,-
PWT_5b192e2c63cce_92.344,-
PWT_5b192e2c63cce_95.03,-
PWT_5b192e2c63cce_96.374,-
PWT_5b192e2c63cce_100.403,-
PWT_5b192e2c63cce_101.746,-
PWT_5b192e2c63cce_103.09,-
PWT_5b192e2c63cce_104.433,-
PWT_5b19295399fe7_394.992,-
PWT_5b192bb1e9219_1004.032,-
PWT_5b192bb1e9219_1343.858,-
PWT_5b19295399fe7_99.99(Test_Bid),-
adcountymedia_Edelweiss-salary-advance_25-07-2018,-
PWT_5b192d88a9fbf_48.69,-
PWT_5b192e2c63cce_58.093,-
PWT_5b192e2c63cce_63.466,-
PWT_5b192e2c63cce_64.809,-
PWT_5b192e2c63cce_72.868,-
PWT_5b192e2c63cce_103.761,-
PWT_5b19307a78e7e_179.987,-
PWT_5b19307a78e7e_185.36,-
